Timestamp,Entering_Grade_Level,District,Birth_Month,OLSAT_Verbal_Score,OLSAT_Verbal_Percentile,NNAT_Non_Verbal_Raw_Score,NNAT_Non_Verbal_Percentile,Overall_Score,School_Preferences,School_Assigned,Will_You_Enroll_There
2017-04-21 11:40:53,K,26.0,January,24.0,99.0,45.0,99.0,98.0,"Nest+m, BSI",Nest+m,Maybe
2017-04-21 17:31:21,K,3.0,April,24.0,97.0,40.0,99.0,99.0,"Nest+m, BSI",Nest+m,Maybe
2017-04-24 10:18:34,K,2.0,July,24.0,97.0,34.0,98.0,98.0,"NEST, LL, Anderson, TAG, 130,11,124,33",NEST,Yes
2017-04-24 11:38:20,K,28.0,February,23.0,95.0,37.0,98.0,97.0,"Nest+m, PS144, PS174",Nest+m,Yes
2017-04-24 18:23:22,K,28.0,July,27.0,99.0,38.0,99.0,99.0,"Nest+m, PS144, PS174",Nest+m,Maybe
2017-04-24 18:23:48,K,17.0,October,22.0,96.0,34.0,99.0,98.0,"Nest+m, PS144, PS174",Nest+m,Maybe
2017-04-24 20:56:49,K,2.0,May,25.0,99.0,36.0,98.0,99.0,"Anderson, NEST, PS 77, TAG ",PS 158,Yes
2017-04-25 09:44:43,K,3.0,March,26.0,99.0,45.0,99.0,99.0,Anderson,Anderson,Yes
2017-04-25 10:25:19,K,2.0,March,28.0,99.0,43.0,99.0,99.0,"Anderson, NEST, TAG, PS77, PS33, PS11",Anderson,Yes
2017-04-25 11:12:19,1,28.0,May,29.0,99.0,48.0,99.0,99.0,Q300,Q300,Yes
2017-04-25 13:47:57,2,30.0,July,29.0,99.0,40.0,99.0,99.0,"NEST, Anderson, 30th Av",NEST,Maybe
2017-04-25 14:00:06,K,2.0,January,24.0,96.0,40.0,99.0,98.0,"NEST, Anderson, 30th Av",NEST,Yes
2017-04-26 10:26:30,K,2.0,September,99.0,99.0,99.0,99.0,99.0,"NEST, Anderson, 30th Av",NEST,Yes
2017-04-26 13:16:22,K,2.0,January,25.0,98.0,41.0,99.0,99.0,"Anderson,NEST+m,LL,PS11",Anderson,Yes
2017-04-26 14:44:10,K,31.0,January,19.0,81.0,38.0,99.0,95.0,"PS50,PS229,PS205,PS53",PS50,Yes
2017-04-26 17:16:18,1,2.0,May,29.0,99.0,44.0,99.0,99.0,"Anderson, Nest, Tag, LL",Anderson,Maybe
2017-04-26 23:34:58,3,30.0,October,90.0,90.0,90.0,90.0,90.0,"Anderson, Nest, Tag, LL",Anderson,Yes
2017-04-27 11:28:40,K,2.0,November,20.0,90.0,39.0,99.0,96.0,PS11,PS11,Maybe
2017-04-28 08:37:25,K,2.0,March,21.0,90.0,39.0,99.0,96.0,"LL, 198, 11, 130, 217, 124, 33",LL,Maybe
2017-04-28 11:41:59,2,2.0,November,28.0,99.0,47.0,99.0,99.0,"Anderson, nestM, lower lab",Anderson,Yes
2017-04-29 21:58:21,3,3.0,March,30.0,99.0,39.0,99.0,99.0,"Anderson, nestM, lower lab",Anderson,Yes
2017-05-03 17:06:18,1,17.0,February,21.0,69.0,42.0,99.0,92.0,"316, 38, ",316,Maybe
2017-05-04 10:16:30,K,20.0,January,28.239583333333332,96.0,43.291666666666664,99.0,98.0,BSI,BSI,Yes
2017-05-07 18:56:39,1,1.0,October,28.0,99.0,41.0,99.0,99.0,"Nest, Anderson",Nest,Yes
2017-05-08 11:38:31,K,25.0,August,28.239583333333332,98.0,43.291666666666664,99.0,93.0,"Nest, Anderson",Nest,Maybe
2017-05-09 03:30:26,2,2.0,May,28.0,98.0,37.0,95.0,97.0,Anderson (Sibling),Anderson (Sibling),Yes
2017-05-10 20:31:46,K,2.0,July,28.239583333333332,87.0,43.291666666666664,99.0,96.0,"11,198,33",11,Yes
2017-05-24 13:37:41,K,30.0,February,23.0,95.0,40.0,99.0,98.0,"300, 217, 122, 166",300,Yes
2017-05-24 14:32:37,K,26.0,February,25.0,98.0,41.0,99.0,99.0,"Nest, Q300, PS188, PS203",Nest,Maybe
2017-05-29 19:48:04,K,22.0,October,30.0,99.0,43.0,99.0,99.0,Brooklyn school of inquiry,Brooklyn school of inquiry,Yes
2017-06-01 12:36:44,K,2.0,June,24.0,97.0,43.0,99.0,98.0,"Anderson, NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI",PS130,Yes
2017-06-01 15:45:11,K,2.0,May,25.0,99.0,36.0,98.0,99.0,"Anderson, NEST, Lower Lab, TAG",TAG,Yes
2017-06-01 17:24:36,K,22.0,April,25.0,98.0,38.0,99.0,99.0,Brooklyn School of Inquiry,Brooklyn School of Inquiry,Yes
2017-06-01 17:27:50,K,3.0,January,23.0,93.0,38.0,99.0,97.0,"539, 334, 166, 77, 11, 163, 12 ",163,Maybe
2017-06-01 17:50:09,2,2.0,October,28.0,99.0,47.0,99.0,99.0,Anderson,None,Yes
2017-06-01 18:19:31,K,14.0,May,26.0,99.0,44.0,99.0,99.0,NEST,NEST,Yes
2017-06-01 19:10:52,2,3.0,April,29.0,99.0,44.0,99.0,99.0,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163",PS 163,Maybe
2017-06-01 19:34:07,1,3.0,December,27.0,99.0,43.0,99.0,99.0,All CW,Q300,Yes
2017-06-01 20:46:58,K,2.0,April,29.0,99.0,42.0,99.0,99.0,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111",Lower Lab,Yes
2017-06-01 23:31:05,K,2.0,January,28.0,99.0,41.0,99.0,99.0,"Anderson, NEST+T, Lower Lab, TAG",Anderson,Yes
2017-06-02 09:52:09,1,2.0,March,28.239583333333332,98.0,43.291666666666664,98.0,98.0,"Anderson, NEST+T, Lower Lab, TAG",Anderson,Yes
2017-06-02 12:03:31,K,2.0,July,24.0,97.0,34.0,98.0,98.0,"NEST,LL,Anderson,TAG,PS130,PS11,PS124",PS130,Maybe
2017-06-02 13:20:23,K,3.0,April,23.0,96.0,39.0,99.0,98.0,"NEST,LL,Anderson,TAG,PS130,PS11,PS124",PS166,Yes
2017-06-04 06:36:43,K,2.0,April,27.0,99.0,37.0,99.0,99.0,NEST/PS33,NEST,Yes
2017-06-04 21:25:21,1,3.0,November,28.239583333333332,99.0,43.291666666666664,99.0,99.0,"Anderson, NEST, PS 166, TAG, LL",PS 166,Yes
2017-06-06 17:11:07,K,2.0,April,25.0,98.0,39.0,99.0,99.0,"LL, Anderson, Nest+m, 198",Lower Lab,Yes
2017-06-06 23:23:20,K,26.0,January,24.0,96.0,45.0,99.0,98.0,"LL, Anderson, Nest+m, 198",LL,Maybe
2017-06-07 23:25:27,K,2.0,December,99.0,99.0,99.0,99.0,99.0,"LL, Anderson, Nest+m, 198",LL,Yes
2017-06-20 16:06:54,1,2.0,August,30.0,99.0,44.0,99.0,99.0,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33",Lower lab (off waitlist),Yes
2017-06-21 22:52:59,K,20.0,July,97.0,97.0,97.0,99.0,98.0,PS229,Ps205,Yes
2017-09-14 16:39:55,K,32.0,February,26.0,99.0,40.0,99.0,99.0,PS229,PS229,Maybe
2017-11-19 17:07:05,K,4.0,April,19.0,84.0,33.0,95.0,91.0,Ps 102,Ps102,Yes
2019-01-11 15:03:41,K,2.0,January,24.0,97.0,44.0,99.0,98.0,Ps11,Ps33,Yes
